idPersonne,Structure,Composante,Formation,Periode,code,Enseignement,FOAD,RegInsc,CM,TD
32, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA1EDA5 , Atelier image illustrator - photoshop,Non,"FI, FC, FA",15.00,15.00
32, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA2EDA7 , Direction artistique-,Non,"FI, FC, FA",15.00,15.00
32, ,DIRECTION DE LA FORMATION,Référentiel Direction Formation,,FTPA , Forfait tuteur (contrat de professionnalisation et d’apprentissage) par alternant-,Non,FI,0.00,3.00
33, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Gestion stratégique de l'information",,DMA1EDB2 , Gestion de projet en ingénierie documentaire-,Non,"FI, FC, FA",3.00,15.00
34,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA1EDA2 , Economie et droit du numérique-,Non,"FI, FC, FA",0.00,15.00
34,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,M1 Humanités numériques Parcours Transitions numériques,,DMA1EDEB , Droit du numérique et cybersécurité-,Non,"FI, FC, FA",3.00,3.00
34,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Création et édition numériques",,DMA3EDA6 , Création et direction artistique crossmédias-,Non,"FI, FC, FA",8.00,7.00
34,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Numérique: Enjeux et technologies",,DMA3EDC3 , EC Ethnographie du numérique/Digital Methods-,Non,"FI, FC, FA",15.00,15.00
34,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Création et édition numériques",,DMA4EDA2 , Participation critique II-,Non,"FI, FC, FA",30.00,0.00
34,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Création et édition numériques",,DMA4EDA3 , Expression professionnelle en langue anglaise-,Non,"FI, FC, FA",15.00,15.00
34,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,M2 Humanités numériques Parcours Transitions numériques,,DMA4EDE2 , Production collective interspécialisation sur les transition-,Non,"FI, FC, FA",0.00,22.50
34,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Informatique Parcours Conduite de Projet Informatique (CPI)",,DMB4ED02 , Gestion de projets-,Non,"FI, FC, FA",0.00,10.00
35, ,UFR M.I.T.S.I.C.,M1 Humanités numériques Parcours Transitions numériques,,DMA1EDEB , Droit du numérique et cybersécurité-,Non,"FI, FC, FA",7.50,7.50
36,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,M1 Humanités numériques Parcours Création et édition numériques,,DMA1EDAD , Web Graphique et Design des Données (intro. outils num.)-,Non,"FI, FC, FA",15.00,15.00
36,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA1EDA1 , Approches transversales des humanités numériques-,Non,"FI, FC, FA",1.50,1.50
36,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA1EDA3 , Introduction à la programmation-,Non,"FI, FC, FA",15.00,15.00
36,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Gestion stratégique de l'information",,DMA3EDB6 , Design de l'information-,Non,"FI, FC, FA",10.00,10.00
36,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Numérique: Enjeux et technologies",,DMA3EDCD , Visualisation interface et interactivité-,Non,"FI, FC, FA",15.00,15.00
36,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Analyse et Conception des environnements humains et numériques",,DMA3EDD5 , Analyse visuelle et graphisme web-,Non,"FI, FC, FA",15.00,15.00
36,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Création et édition numériques",,DMA4EDA1 , Sémiotique des interfaces et des dispositifs numériques-,Non,"FI, FC, FA",15.00,15.00
37, ,UFR M.I.T.S.I.C.,M1 Humanités numériques Parcours Création et édition numériques,,DMA1EDAD , Web Graphique et Design des Données (intro. outils num.)-,Non,"FI, FC, FA",15.00,15.00
38,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Numérique: Enjeux, technologies",,DMA2EDC2 , Hypermédia et web sémantique-,Non,"FI, FC, FA",15.00,15.00
38,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Création et édition numériques",,DMA4EDA2 , Participation critique II-,Non,"FI, FC, FA",7.30,7.30
38,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,M1 Informatique Parcours Informatique et Big Data,,DMB1ED13 , INFO1 : Introduction aux technologies de l’Hypermédia-,Non,"FI, FC, FA",15.00,0.00
38,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
PROGRAMME D'ECHANGES INTERNATIONAUX ARTS",,DMB2ED03 , Représentation des connaissances & gestion des données-,Non,"FI, FC, FA",15.30,15.00
38,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,M1 Informatique Parcours Informatique et Big Data,,DMB2ED15 , Langage et Technologie WEB-,Non,"FI, FC, FA",15.30,0.00
38,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Informatique Parcours Technologie de l'Hypermedia (THYP)",,DMB3ED23 , Technologies émergentes & Innovation-,Non,"FI, FC, FA",15.00,15.00
38,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Informatique Parcours Technologie de l'Hypermedia (THYP)",,DMB3ED26 ," Visualisation, interface et interactivité-",Non,"FI, FC, FA",15.00,15.00
38,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Informatique Parcours Technologie de l'Hypermedia (THYP)",,DMB3ED40 , Théories et conception des hypermédias-,Non,"FI, FC, FA",15.00,15.00
39,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Numérique: Enjeux, technologies",,DMA1EDC1 , Méthodes de recherche quantitatives et qualitatives-,Non,"FI, FC, FA",15.00,15.00
39,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Numérique: Enjeux, technologies",,DMA1EDC5 , Fondamentaux info-communicationnels et technologiques,Non,"FI, FC, FA",15.00,15.00
39,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA2EDA2 , Conception et gestion de projet numérique-,Non,"FI, FC, FA",21.00,9.00
39,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Analyse et Conception des environnements humains et numériques",,DMA3EDD6 , Design des protocoles-,Non,"FI, FC, FA",15.00,15.00
39,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Analyse et Conception des environnements humains et numériques",,DMA4EDD2 , Projet collaboratif tutoré-,Non,"FI, FC, FA",9.00,9.00
39,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Analyse et Conception des environnements humains et numériques",,DMA4EDD7 , Communs et intelligence collective-,Non,"FI, FC, FA",15.00,15.00
40,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA1EDA6 , Atelier 3D : modélisation-,Non,"FI, FC, FA",15.00,15.00
40,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
L1 Informatique",,DM11EN01 , Introduction aux moteurs de jeux-,Non,"FI, FC, FA",30.00,30.00
40,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
L1 Informatique",,DM12EN03 , Création et gestion de ressources-,Non,"FI, FC, FA",45.00,45.00
40,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
L3 Informatique",,DM15ET01 ," M3P : Projet tuteuré, état de l'art-",Non,"FI, FC, FA",0.00,3.00
40,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
L3 Informatique",,DM16EP01 , Projet tuteuré : implémentation-,Non,"FI, FC, FA",0.00,3.00
41,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA1EDA1 , Approches transversales des humanités numériques-,Non,"FI, FC, FA",0.00,6.00
41,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA1EDA3 , Introduction à la programmation-,Non,"FI, FC, FA",15.00,15.00
41,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA2EDA4 , Participation critique 1-,Non,"FI, FC, FA",12.00,0.00
41,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Numérique: Enjeux et technologies",,DMA3EDC7 , Atelier génération de texte-,Non,"FI, FC, FA",15.00,15.00
41,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Analyse et Conception des environnements humains et numériques",,DMA3EDD2 , Méthodes et outils d'analyses statistiques et de fouille-,Non,"FI, FC, FA",10.00,11.00
41,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Gestion stratégique de l'information",,DMA4EDB2 , Système d'information et programmation internet-,Non,"FI, FC, FA",0.00,15.00
41,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Analyse et Conception des environnements humains et numériques",,DMA4EDD4 , Ethique du web et écosystèmes d'information-,Non,"FI, FC, FA",15.00,15.00
41,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Informatique Parcours Technologie de l'Hypermedia (THYP)",,DMB3ED24 , Langages et développement web-,Non,"FI, FC, FA",15.00,15.00
41,UFR M.I.T.S.I.C.,I.E.D.,L1 PSYCHOLOGIE IED,,DN32ET01 , Méthodologie de travail collaboratif-,Non,"FI, FC, FA",0.00,50.00
42, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Numérique: Enjeux et technologies",,DMA3EDCE , Enjeux des technologies émergnentes et innovantes-,Non,"FI, FC, FA",12.00,12.00
42, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Numérique: Enjeux, technologies",,DMA2EDC4 , Numérique en ligne et nouvelle économie-,Non,"FI, FC, FA",15.00,15.00
42, ,DIRECTION DE LA FORMATION,Référentiel Direction Formation,,FTPA , Forfait tuteur (contrat de professionnalisation et d’apprentissage) par alternant-,Non,FI,0.00,
43, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA1EDA3 , Introduction à la programmation-,Non,"FI, FC, FA",7.50,7.50
44, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA1EDA9 , Interaction 3D-,Non,"FI, FC, FA",15.00,15.00
