parcours,NBR_CRD_ELP,ECTS,Semestre,COD_ELP1,LIC_ELP1,LIB,remarques,HYBRIDE,LIC_NEL1,TEM_SUS_ELP1,NB_HEURE,NB_GROUPE,CM,TD,M1MGID,M1MCRE,M1MNET,M1MTRN,M1MMCP,M1DTDM,M1MACE,M2MGID,M2MCRE,M2MNET,M2MTRN,M2MMCP,M2MACE,M2DTDM,M1Nanterre,M2Nanterre,M1ERGO,M2ERGO,M1Info,M2CPI,M1Droit,M2Droit,SoSkilled,M1Aegean,M1LasPalmas,M2Aegean,M2LasPalmas,MIP
M1MNET,3,,,DMA2EDC6,Design de l'info Num.,Design de l'information numérique,,,EC,N,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,9,,,DMA2EDC7,Rapport stage/ apprentiss,Rapport de stage / apprentissage,,,EC,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,3,,,DMA2EDC8,Données Web,Données Web : méthodes et outils d'analyse et de gestion,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,7,,,DMA2EDE1,Prod col intrspéc transit,Production collective interspécialisation sur les transitions numériques,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,8,,2,DMA2ESB7,Stage et rapport,Stage et rapport,,,EC,N,21,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,16,,,DMA2ESE1,Stage 2 mois,Stage 2 mois,,,EC,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,5,,2,DMA2ETB8,Anglais,Anglais,,,EC,N,15,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,4,,,DMA2ETE1,Anglais,Anglais,,,EC,N,21,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,5,,,DMA3EDA1,Dév. multi-plateformes,Développement multi-plateformes ,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,5,,,DMA3EDA2,EC libre,EC libre,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,5,,,DMA3EDA3,Montage start up (grizz),Montage start up (grizz),,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,5,,,DMA3EDA4,UX Design,UX Design,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,5,,,DMA3EDA5,Traitmt Edito & Créa. Num,Traitement éditorial et création numérique,,,EC,N,30,1,50,50,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
M2MCRE,5,,,DMA3EDA6,Créa. & Direc. artistique,Création et direction artistique crossmedias,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,5,,,DMA3EDA7,Dév. prototypes crossméd.,Développement de prototypes crossmédias,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,3,,,DMA3EDB1,Initiation à la recherche,Initiation à la recherche,,,EC,N,15,1,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,2,,,DMA3EDB2,Pratiques info-ComLles,Pratiques info communicationnelles,,,EC,N,15,1,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,4,,,DMA3EDB3,Gestion des connaissances,Gestion des connaissances,,,EC,N,20,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,3,,,DMA3EDB4,GDD en entreprise,Gestion des données et des documents en entreprise,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,2,,,DMA3EDB5,Com digitale & community,Communication digitale et community management,,,EC,N,15,1,0,100,,,,,,,,,,,15,,,,,,,,,,,,,,,,,
